"NAME","NATIONALITY"
"milva","List_of_Italians"
"mina","List_of_Italians"
"domenico modugno","List_of_Italians"
"gianni morandi","List_of_Italians"
"fabrizio moro","List_of_Italians"
"franco mussida","List_of_Italians"
"gianna nannini","List_of_Italians"
"gino paoli","List_of_Italians"
"patty pravo","List_of_Italians"
"eros ramazzotti","List_of_Italians"
"donatella rettore","List_of_Italians"
"vasco rossi","List_of_Italians"
"enrico ruggeri","List_of_Italians"
"antonella ruggiero","List_of_Italians"
"giuni russo","List_of_Italians"
"demetrio stratos","List_of_Italians"
"aldo tagliapietra","List_of_Italians"
"luigi tenco","List_of_Italians"
"ornella vanoni","List_of_Italians"
"roberto vecchioni","List_of_Italians"
"antonello venditti","List_of_Italians"
"edoardo vianello","List_of_Italians"
"renato zero","List_of_Italians"
"zucchero","List_of_Italians"
"roberto demo","List_of_Italians"
"antonio bernacchi","List_of_Italians"
"caffarelli","List_of_Italians"
"giovanni carestini","List_of_Italians"
"girolamo crescentini","List_of_Italians"
"farinelli","List_of_Italians"
"giacinto fontana","List_of_Italians"
"nicolò grimaldi","List_of_Italians"
"giovanni francesco grossi","List_of_Italians"
"gaetano guadagni","List_of_Italians"
"giuseppe millico","List_of_Italians"
"alessandro moreschi","List_of_Italians"
"gaspare pacchierotti","List_of_Italians"
"senesino","List_of_Italians"
"giovanni velluti","List_of_Italians"
"gemma bellincioni","List_of_Italians"
"maria caniglia","List_of_Italians"
"mariella devia","List_of_Italians"
"mirella freni","List_of_Italians"
"amelita gallicurci","List_of_Italians"
"giulia grisi","List_of_Italians"
"claudia muzio","List_of_Italians"
"giuditta pasta","List_of_Italians"
"adelina patti","List_of_Italians"
"renata scotto","List_of_Italians"
"renata tebaldi","List_of_Italians"
"luisa tetrazzini","List_of_Italians"
"cecilia bartoli","List_of_Italians"
"faustina bordoni","List_of_Italians"
"fiorenza cossotto","List_of_Italians"
"giulietta simionato","List_of_Italians"
"ebe stignani","List_of_Italians"
"lucia valentini terrani","List_of_Italians"
"marietta alboni","List_of_Italians"
"clorinda corradi","List_of_Italians"
"giuseppina grassini","List_of_Italians"
"carlo bergonzi","List_of_Italians"
"andrea bocelli","List_of_Italians"
"enrico caruso","List_of_Italians"
"franco corelli","List_of_Italians"
"fernando de lucia","List_of_Italians"
"mario del monaco","List_of_Italians"
"giuseppe di stefano","List_of_Italians"
"giuseppe filianoti","List_of_Italians"
"beniamino gigli","List_of_Italians"
"giacomo laurivolpi","List_of_Italians"
"giovanni martinelli","List_of_Italians"
"luciano pavarotti","List_of_Italians"
"aureliano pertile","List_of_Italians"
"gianni raimondi","List_of_Italians"
"giovanni battista rubini","List_of_Italians"
"tito schipa","List_of_Italians"
"francesco tamagno","List_of_Italians"
"pasquale amato","List_of_Italians"
"ettore bastianini","List_of_Italians"
"mattia battistini","List_of_Italians"
"renato bruson","List_of_Italians"
"piero cappuccilli","List_of_Italians"
"antonio cotogni","List_of_Italians"
"giuseppe de luca","List_of_Italians"
"tito gobbi","List_of_Italians"
"rolando panerai","List_of_Italians"
"giorgio ronconi","List_of_Italians"
"titta ruffo","List_of_Italians"
"giuseppe taddei","List_of_Italians"
"salvatore baccaloni","List_of_Italians"
"sesto bruscantini","List_of_Italians"
"enzo dara","List_of_Italians"
"nazzareno de angelis","List_of_Italians"
"ferruccio furlanetto","List_of_Italians"
"luigi lablache","List_of_Italians"
"tancredi pasero","List_of_Italians"
"ezio pinza","List_of_Italians"
"cesare siepi","List_of_Italians"
"pacuvius","List_of_Italians"
"studius","List_of_Italians"
"altichiero","List_of_Italians"
